User,adfe
AI,Geen relevante informatie gevonden.
User,wiskunde
AI,Geen relevante informatie gevonden.
User,aedde
AI,Geen relevante informatie gevonden.
User,Veelhoeken
AI,Geen relevante informatie gevonden.
User,uyb
AI,Geen relevante informatie gevonden.
User,meetkunde
AI,Geen relevante informatie gevonden.
User,wiskunde
AI,Calculus
User,wiskunde
AI,Calculus

User,wiskunde
AI,nullCalculus
User,wiskunde
AI,nullCalculus
User,wiskunde
AI,Algebra
Meetkunde
Calculus

User,my brotha welke wiskunde dingen zijn er
AI,Algebra
Meetkunde
Calculus

